r_channel;ir_channel
119414;153472
119391;153476
119438;153530
119401;153503
119401;153553
119386;153498
119462;153512
119412;153527
119415;153584
119414;153556
119427;153591
119411;153545
119447;153608
119453;153557
119443;153617
119392;153584
119413;153615
119418;153552
119430;153555
119405;153505
119413;153466
119376;153390
119349;153415
119329;153306
119358;153270
119320;153229
119335;153260
119309;153223
119340;153212
119273;153191
119323;153188
119318;153107
119298;153119
119254;153118
119283;153106
119263;153091
119290;153067
119285;153058
119307;153047
119252;153062
119258;153084
119242;153075
119295;153072
119285;153088
119308;153071
119270;153060
119278;153074
119231;153066
119251;153068
119259;152999
119268;153022
119250;153030
119272;153042
119242;153039
119237;153049
119250;153035
119294;153008
119259;152995
119257;153032
119242;153040
119265;153063
119246;153055
119264;153034
119273;153017
119270;153031
119206;153061
119232;153035
119261;153046
119255;153060
119269;153058
119283;153046
119253;153054
119248;153113
119232;153070
119293;153055
119256;153072
119280;153087
119288;153057
119287;153108
119238;153124
119257;153121
119261;153064
119257;153073
119268;153106
119298;153106
119262;153124
119251;153151
119297;153135
119326;153127
119277;153151
119288;153181
119296;153182
119287;153184
119299;153171
119306;153175
119315;153139
119278;153139
119246;153138
119237;153075
119247;152992
119222;152960
119246;152921
119231;152875
119186;152857
119181;152863
119168;152810
119181;152751
119183;152729
119192;152758
119171;152741
119170;152748
119143;152745
119185;152702
119176;152646
119154;152641
119181;152668
119158;152667
119156;152685
119160;152698
119168;152683
119207;152667
119170;152682
119154;152703
119160;152697
119164;152715
119152;152711
119185;152702
119182;152678
119173;152683
119144;152723
119162;152718
119189;152666
119180;152683
119187;152713
119194;152749
119174;152746
119159;152757
119215;152755
119215;152738
119210;152763
119204;152789
119203;152774
119204;152806
119195;152801
119225;152808
119239;152781
119224;152794
119201;152823
119203;152838
119229;152845
119230;152841
119237;152843
119234;152826
119238;152852
119233;152899
119226;152895
119254;152856
119256;152892
119274;152893
119262;152903
119249;152917
119247;152939
119254;152930
119269;152911
119282;152886
119273;152950
119299;152968
119276;152980
119265;152999
119291;152983
119323;152954
119295;152983
119268;153009
119285;153018
119313;153032
119305;153034
119326;153029
119307;152997
119299;152978
119242;152949
119240;152910
119255;152863
119230;152804
119234;152754
119221;152717
119197;152676
119158;152682
119181;152633
119184;152547
119174;152519
119190;152575
119175;152543
119160;152555
119139;152525
119158;152485
119173;152447
119147;152442
119121;152477
119129;152462
119134;152466
119145;152448
119148;152470
119169;152468
119136;152470
119116;152522
119120;152499
119129;152480
119140;152495
119137;152500
119164;152459
119135;152476
119112;152494
119134;152468
119147;152445
119109;152419
119145;152469
119159;152466
119136;152487
119116;152501
119132;152473
119186;152454
119166;152474
119130;152517
119159;152523
119165;152540
119152;152542
119175;152534
119185;152530
119165;152551
119143;152590
119138;152575
119172;152570
119169;152574
119188;152606
119176;152592
119197;152608
119156;152648
119156;152622
119197;152598
119203;152630
119213;152646
119202;152659
119202;152664
119187;152707
119221;152679
119244;152658
119227;152682
119222;152731
119214;152716
119239;152749
119246;152743
119252;152770
119281;152731
119264;152762
119219;152814
119240;152821
119271;152792
119265;152822
119311;152827
119299;152828
119273;152861
119256;152899
119278;152855
119298;152823
119293;152808
119290;152824
119275;152774
119257;152752
119219;152707
119238;152671
119240;152587
119221;152558
119181;152561
119205;152533
119194;152529
119174;152494
119192;152465
119197;152448
119175;152463
119164;152463
119150;152434
119207;152428
119163;152408
119182;152422
119191;152387
119160;152392
119123;152436
119162;152416
119176;152380
119194;152419
119188;152457
119185;152444
119197;152465
119172;152485
119179;152455
119211;152429
119186;152427
119187;152474
119180;152456
119191;152490
119189;152491
119196;152509
119215;152445
119233;152483
119177;152503
119208;152538
119224;152506
119228;152550
119229;152536
119266;152539
119227;152551
119226;152607
119220;152590
119259;152606
119253;152590
119269;152630
119247;152607
119258;152649
119239;152672
119254;152663
119262;152606
119287;152655
119305;152707
119286;152708
119278;152695
119273;152735
119296;152719
119315;152726
119304;152679
119307;152794
119301;152742
119320;152798
119296;152773
119328;152806
119328;152775
119338;152830
119303;152832
119298;152861
119333;152820
119345;152879
119355;152831
119385;152869
119339;152865
119347;152921
119345;152867
119369;152876
119368;152860
119372;152954
119367;152914
119370;152972
119346;152958
119386;152951
119390;152861
119365;152853
119337;152843
119357;152823
119326;152765
119318;152776
119308;152685
119330;152676
119285;152648
119266;152690
119252;152646
119305;152655
119268;152609
119308;152654
119321;152585
119316;152644
119246;152627
119291;152637
119296;152566
